Indicator,Average annual employer sponsored insurance premium by Plan Type
Source,"Medical Expenditure Panel Survey - Insurance Component (MEPS-IC), Agency for Healthcare Research and Quality (AHRQ), Center for Financing, Access and Cost Trends (CFACT).<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The margin of error (MOE) represents the uncertainty of an estimate due to sampling variability; the calculated MOE is 95%. N/A indicates that data were not available or suppressed by AHRQ due to large standard errors. The MEPS/IC did not collect data for 2007. Data collection for the 2020 MEPS/IC was impacted by the COVID-19 pandemic which may have impacted 2020 estimates. More information about changes made to the 2020 survey methodology is available in AHRQ Methodology Report 34, "Sample Design of the 2020 Medical Expenditure Panel Survey Insurance Component.""
Description,Average annual premium for a private sector worker who gets health insurance through his or her employer by plan type.


Fips,Location,Plan Type,TimeFrame,Data Type,Data,MOE
US,United States,Single,2021,Dollars,7380,72.010400000000004
US,United States,Family,2021,Dollars,21381,218.5008
US,United States,Single,2020,Dollars,7149,68.541200000000003
US,United States,Family,2020,Dollars,20758,242.0796
US,United States,Single,2022,Dollars,7590,75.362000000000009
US,United States,Family,2022,Dollars,21931,239.10039999999998
US,United States,Single,2023,Dollars,8182,93.472399999999993
US,United States,Family,2023,Dollars,23938,281.55400000000003
US,United States,Family,2024,Dollars,24540,318.69601440429688
US,United States,Single,2024,Dollars,8486,171.06880187988281
01,Alabama,Single,2021,Dollars,6719,297.82199999999995
01,Alabama,Family,2021,Dollars,19539,848.44479999999999
01,Alabama,Single,2020,Dollars,6393,433.98319999999995
01,Alabama,Family,2020,Dollars,17324,1129.8224
01,Alabama,Single,2022,Dollars,6769,313.2276
01,Alabama,Family,2022,Dollars,19575,889.46759999999995
01,Alabama,Single,2023,Dollars,7645,383.12119999999999
01,Alabama,Family,2023,Dollars,21102,1350.9692
01,Alabama,Family,2024,Dollars,23986,1510.9051513671875
01,Alabama,Single,2024,Dollars,7856,422.34078979492188
02,Alaska,Single,2021,Dollars,9037,778.02199999999993
02,Alaska,Family,2021,Dollars,23438,1444.7356
02,Alaska,Single,2020,Dollars,8635,393.58760000000001
02,Alaska,Family,2020,Dollars,21809,1704.2395999999999
02,Alaska,Single,2022,Dollars,8624,682.92280000000005
02,Alaska,Family,2022,Dollars,25892,2069.0936000000002
02,Alaska,Single,2023,Dollars,9096,573.75080000000003
02,Alaska,Family,2023,Dollars,25876,1514.394
02,Alaska,Family,2024,Dollars,25493,1938.067626953125
02,Alaska,Single,2024,Dollars,9326,549.11358642578125
04,Arizona,Single,2021,Dollars,6728,333.61160000000001
04,Arizona,Family,2021,Dollars,20117,1012.6535999999999
04,Arizona,Single,2020,Dollars,6612,285.08199999999999
04,Arizona,Family,2020,Dollars,19808,1470.5095999999999
04,Arizona,Single,2022,Dollars,7214,469.92959999999999
04,Arizona,Family,2022,Dollars,21427,1353.576
04,Arizona,Single,2023,Dollars,7981,408.75800000000004
04,Arizona,Family,2023,Dollars,23758,1254.7331999999999
04,Arizona,Family,2024,Dollars,23132,1295.16796875
04,Arizona,Single,2024,Dollars,8311,824.45440673828125
