Indicator,Percent of people with a high medical cost burden by Total (2017 to 2024)
Source,"SHADAC analysis of the Current Population Survey's Annual Social and Economic Supplements (CPS) public use microdata files.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"Family defined as a Health Insurance Unit (HIU), based on individuals who would likely be considered a family unit in determining eligibility for either private or public coverage. Income measured as HIU family income in relation to HHS Federal Poverty Guidelines (FPG). The margin of error (MOE) represents the uncertainty of an estimate due to sampling variability; the calculated MOE is 95%. N/A indicates that data were not available or suppressed because the number of sample cases was too small.<br />
<br />
Data collection for the 2020 CPS (2019 estimates) was impacted by the COVID-19 pandemic, which likely caused measurable non-response bias. Users should treat 2019 estimates with caution. More information is available in Census Working Paper <a href="https://www.census.gov/library/working-papers/2020/demo/SEHSD-WP2020-10.html" target="_blank">SEHSD WP2020-10</a>. Data collection for the 2021 CPS (2020 estimates) was also impacted by the COVID-19 pandemic, which likely caused measurable non-response bias. More information is available in a <a href="https://www.census.gov/newsroom/blogs/research-matters/2021/09/pandemic-affect-survey-response.html" target="_blank">September 2021 Census blog post</a>. Though data collection for the 2022 CPS (2021 estimates) was not impacted by the pandemic, response rates continued to be below pre-pandemic normal, which has resulted in small, but measurable nonresponse bias. More information is available in a <a href="https://www.census.gov/newsroom/blogs/research-matters/2022/09/how-did-the-pandemic-affect-survey-response.html" target="_blank">September 2022 Census blog post</a>. Users should treat 2019&ndash;2021 estimates with caution.<br />"
Description,"Share of individuals who are in families where out-of-pocket spending on health care, including premiums, accounted for more than 10 percent of annual income for the civilian non-institutionalized population."


Fips,Location,TimeFrame,Data Type,Data,MOE
US,United States,2020,Percent,0.17371,3.0674000000000001E-3
US,United States,2021,Percent,0.16766,3.33396E-3
US,United States,2022,Percent,0.16254,3.2530026999999999E-3
US,United States,2023,Percent,0.15768,3.4149596000000002E-3
US,United States,2024,Percent,0.15317,.0032347424
01,Alabama,2020,Percent,0.18987,1.9868520000000001E-2
01,Alabama,2021,Percent,0.20397,2.5532920000000001E-2
01,Alabama,2022,Percent,0.18761,3.1423382499999999E-2
01,Alabama,2023,Percent,0.13119,2.09458992E-2
01,Alabama,2024,Percent,0.1533,.0307147019
02,Alaska,2020,Percent,0.13813,2.1195439999999999E-2
02,Alaska,2021,Percent,0.13342,2.5679920000000002E-2
02,Alaska,2022,Percent,0.14161,2.9974822000000002E-2
02,Alaska,2023,Percent,0.14445,2.96871345E-2
02,Alaska,2024,Percent,0.11803,.0241166353
04,Arizona,2020,Percent,0.17927,2.399432E-2
04,Arizona,2021,Percent,0.16913,2.532908E-2
04,Arizona,2022,Percent,0.17514,2.16121152E-2
04,Arizona,2023,Percent,0.15916,2.4405620999999999E-2
04,Arizona,2024,Percent,0.15214,.0280485302
05,Arkansas,2020,Percent,0.22308,2.5679920000000002E-2
05,Arkansas,2021,Percent,0.21511,2.3067239999999999E-2
05,Arkansas,2022,Percent,0.19584,2.96028461E-2
05,Arkansas,2023,Percent,0.17087,2.6064185399999999E-2
05,Arkansas,2024,Percent,0.17076,.0230535325
06,California,2020,Percent,0.14614,8.9944399999999994E-3
06,California,2021,Percent,0.12767,7.9732799999999993E-3
06,California,2022,Percent,0.13039,8.8280747000000007E-3
06,California,2023,Percent,0.13127,9.1141481000000003E-3
06,California,2024,Percent,0.11802,.0079043638
08,Colorado,2020,Percent,0.19728,2.3412200000000001E-2
08,Colorado,2021,Percent,0.16707,2.1463960000000001E-2
08,Colorado,2022,Percent,0.17883,2.6254912799999999E-2
08,Colorado,2023,Percent,0.19044,3.6965332900000002E-2
08,Colorado,2024,Percent,0.15216,.0228950735
09,Connecticut,2020,Percent,0.16424,3.1493279999999998E-2
09,Connecticut,2021,Percent,0.16492,2.869244E-2
09,Connecticut,2022,Percent,0.16752,2.7847802299999998E-2
09,Connecticut,2023,Percent,0.13719,2.6877038200000002E-2
09,Connecticut,2024,Percent,0.17476,.0292066187
10,Delaware,2020,Percent,0.20213,2.7649719999999999E-2
10,Delaware,2021,Percent,0.17229,2.6236559999999999E-2
10,Delaware,2022,Percent,0.18251,3.4208778299999999E-2
10,Delaware,2023,Percent,0.17403,3.0382720799999999E-2
10,Delaware,2024,Percent,0.15504,.02843084
11,Dist. of Columbia,2020,Percent,0.09312,1.413944E-2
11,Dist. of Columbia,2021,Percent,0.09824,1.8915959999999999E-2
11,Dist. of Columbia,2022,Percent,0.09683,1.8549706799999999E-2
11,Dist. of Columbia,2023,Percent,0.08558,1.8584009299999999E-2
11,Dist. of Columbia,2024,Percent,0.09204,.0195035357
12,Florida,2020,Percent,0.17853,1.189524E-2
12,Florida,2021,Percent,0.18137,1.3792519999999999E-2
12,Florida,2022,Percent,0.16365,1.48701593E-2
12,Florida,2023,Percent,0.18679,1.5273109999999999E-2
12,Florida,2024,Percent,0.157,.014195432
13,Georgia,2020,Percent,0.16435,2.1546279999999998E-2
13,Georgia,2021,Percent,0.16352,2.2828119999999997E-2
13,Georgia,2022,Percent,0.17149,2.6186469899999999E-2
13,Georgia,2023,Percent,0.16101,2.52600238E-2
13,Georgia,2024,Percent,0.16321,.0241023507
15,Hawaii,2020,Percent,0.13956,2.3206399999999999E-2
15,Hawaii,2021,Percent,0.13237,2.1350279999999999E-2
15,Hawaii,2022,Percent,0.10809,1.73444785E-2
15,Hawaii,2023,Percent,0.1275,2.2804964300000001E-2
15,Hawaii,2024,Percent,0.12545,.0199193023
16,Idaho,2020,Percent,0.20736,2.233812E-2
16,Idaho,2021,Percent,0.19504,2.5873959999999998E-2
16,Idaho,2022,Percent,0.18034,2.4310288999999999E-2
16,Idaho,2023,Percent,0.20714,2.48299222E-2
16,Idaho,2024,Percent,0.20539,.0255954955
17,Illinois,2020,Percent,0.19285,1.8037879999999999E-2
17,Illinois,2021,Percent,0.18,1.8618040000000002E-2
17,Illinois,2022,Percent,0.15769,1.6664788100000001E-2
17,Illinois,2023,Percent,0.15369,1.54246148E-2
17,Illinois,2024,Percent,0.14947,.0208600424
18,Indiana,2020,Percent,0.18875,2.4531359999999999E-2
18,Indiana,2021,Percent,0.20739,2.7894719999999998E-2
18,Indiana,2022,Percent,0.17055,2.5491692100000001E-2
18,Indiana,2023,Percent,0.17252,2.3649653400000002E-2
