state,year,CON_6m,enacted_first,repealed,reinstated_CON_ind,enacted_second,note
alabama,1964,0,1979-07-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
alaska,1964,0,1976-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
arizona,1964,0,1975-06-12T00:00:00Z,1985-03-15T00:00:00Z,N,NA,Certificate of Necessity for ambulances passed in 1993
arkansas,1964,0,1975-03-25T00:00:00Z,1987-01-01T00:00:00Z,Y,1987-01-01T00:00:00Z,"Reinstated Permit of Approval program, more relaxed CON law"
california,1964,0,1976-09-09T00:00:00Z,1987-01-01T00:00:00Z,N,NA,NA
colorado,1964,0,1973-05-30T00:00:00Z,1987-07-01T00:00:00Z,N,NA,NA
connecticut,1964,0,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON for Long Term Care Facilities became effective July 1, 1993"
delaware,1964,0,1978-06-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
florida,1964,0,1973-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
georgia,1964,0,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
hawaii,1964,0,1975-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
idaho,1964,0,1980-03-20T00:00:00Z,1983-07-01T00:00:00Z,N,NA,CON expired in 1983 but repealed in 2004
illinois,1964,0,1974-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"CON laws subject to review December 31st, 2029"
indiana,1964,0,1980-01-01T00:00:00Z,1999-01-01T00:00:00Z,Y,2019-01-01T00:00:00Z,No CON laws in 1996; 2018 CON law only applies to nursing homes
iowa,1964,0,1978-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
kansas,1964,0,1972-03-21T00:00:00Z,1985-04-23T00:00:00Z,N,NA,NA
kentucky,1964,0,1972-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
louisiana,1964,0,1990-07-06T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maine,1964,0,1978-03-30T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
maryland,1964,0,1968-01-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
massachusetts,1964,0,1972-06-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
michigan,1964,0,1972-08-08T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
minnesota,1964,0,1971-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Hospital moratorium from 1984 to June 30, 1987; 2004 public review"
mississippi,1964,0,1979-07-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
missouri,1964,0,1980-10-01T00:00:00Z,2025-07-17T00:00:00Z,N,NA,NA
montana,1964,0,1975-04-16T00:00:00Z,2025-07-17T00:00:00Z,N,NA,"Repealed CON in 2019, generally, except for long-term care facilities"
